,tweets,clean_tweet
0,"@kiaspertama Jangan ke mars, minyak goreng lg susah disana",mars minyak goreng lg susah disana
1,"Berbondong bondong serang ikn berbondong bondong serang minyak  goreng berbondong bondong serang kribo berbondong  bondong serang yakut.. Yah gak kelar kelar besok ada lg masalah yg di antri antri kan. 
Yg sengsara rakyat juga tokoh nya masih bisa makan di cafe masih bisa jalan2",berbondong bondong serang ikn berbondong bondong serang minyak goreng berbondong bondong serang kribo berbondong bondong serang yakut yah kelar kelar besok lg antri antri sengsara rakyat tokoh nya makan cafe jalan
2,@kompascom Coba dicari di tempat orang vaksin yang bagi2 minyak goreng. Kemungkinan banyak yang disimpan di sana.,coba dicari orang vaksin minyak goreng disimpan
3,"Angin Puting Beliung di Indramayu, Antrean Minyak Goreng Hingga Vaksinasi Calon Jemaah Haji! https://t.co/Cl13GnGsGA https://t.co/ictnq1X9yF",angin puting beliung indramayu antrean minyak goreng vaksinasi calon jemaah haji
4,""" ktika minyak goreng macih dlam proses stabilisasi distribusinya agar lancar mka kami minta bupati / wali kota te2p menggelar operasi minyak goreng , "" kata khofifah.",ktika minyak goreng macih dlam proses stabilisasi distribusinya lancar mka bupati wali kota tep menggelar operasi minyak goreng khofifah
5,Ndelok ng dunia maya minyak goreng langka jan antrine isok ngnu i edunn,ndelok ng dunia maya minyak goreng langka jan antrine isok ngnu edunn
6,@UyokBack 3 periode selesai tu urusan minyak goreng...,periode selesai tu urusan minyak goreng
7,@gilang_sat Auto direstuin nyokapnya kali ya kalo gift minyak goreng?,sat auto direstuin nyokapnya kali iya gift minyak goreng
8,Madzhab antrean goreng minyak bukan lagi hoax mbah https://t.co/OOOOtGuqpS,madzhab antrean goreng minyak hoax mbah
9,"@RacunBelanja info mincun, yg cb bulanan goclub bisa buat beli minyak goreng gak sih di alfa?",info mincun cb bulanan goclub beli minyak goreng alfa
10,"@usaisudahhh Wkwk bener minyak goreng aja lebih bermanfaat 🤣🤣🤣

Aku suka hal2 yang bermanfaat awoakwok",wkwk bener minyak goreng bermanfaat suka bermanfaat awoakwok
11,@Mahendra_edy Nyari minyak goreng 10kg,edy nyari minyak goreng kg
12,"Pengen gift buat oshi..

Minyak goreng aja kali ya",pengen gift oshi minyak goreng kali iya
13,"@sudjiwotedjo Klo antrean minyak Goreng saya yakin itu  HoaaX pake banget, mbah!
Masa di Negara Pancasila yg perkebunan sawit nya Luas dan banyak, gak bisa menyediakan menyediakan Minyak Goreng.",antrean minyak goreng hoaax pake banget mbah negara pancasila perkebunan sawit nya luas menyediakan menyediakan minyak goreng
14,@democrazymedia Bacot!!! Bukannya ngurusin minyak goreng!!!,bacot ngurusin minyak goreng
15,"Waktu awal"" minyak goreng langka, mama tuh manusia ter santai di lingkungan. Trnyta ada ngestok dr november. Smp akhirnya cuma punya 1 bks minyak yg isi 2L. Dah tuh mulai kelabakan. Akhirnya ku kasih 200rb, stlh berkelana seharian, pulang"" bawa 1 karton isi 900ml 190rb👍😶.",minyak goreng langka mama tuh manusia ter santai lingkungan trnyta ngestok dr november smp bks minyak isi tuh kelabakan ku kasih rb stlh berkelana seharian pulang bawa karton isi ml rb
16,"Khofifah yg jg salah seorg Ketua PBNU itu bharap minyak goreng yg digelontorkan Pemprov Jatim brsama Kemendag, RNI &amp; PPI bs menjdi stimulus bagi para pedagang tradisional serta menstabilkan suplai maupun hrg.",khofifah salah seorg ketua pbnu bharap minyak goreng digelontorkan pemprov jatim brsama kemendag rni ppi bs menjdi stimulus pedagang tradisional menstabilkan suplai hrg
17,Ketika emak2 antri minyak goreng..ibu negara kemana? Ibu sehat? Tidak kah media @detikcom @tempodotco @kompascom @CNNIndonesia punya berita soal ibu negara?,emak antri minyak goreng negara kemana sehat kah media berita negara
18,selangkah itu minyak goreng? berasa lagi nyari jodoh.,selangkah minyak goreng berasa nyari jodoh
19,"@healthy13245678 Yg bakal terjadi :

Minyak goreng ditukar unt tertib vaksin.",minyak goreng ditukar unt tertib vaksin
20,"Pak @jokowi minyak goreng pak, tuluuungg",minyak goreng tuluuungg
21,"Slh satu minimarket trsedia stok minyak goreng, stlh itu d serbu pembeli, kurleb 45mnt sdh SO, FYI masing2 minimarket d jth 10 kardus per3 hari skali (kdg2 smnggu skali).

Kerasa thn 50an, kasus d atas baru minyak goreng, blm lg gula pasir dsb.",slh minimarket trsedia stok minyak goreng stlh serbu pembeli kurleb mnt sdh so fyi minimarket jth kardus skali kdg smnggu skali kerasa thn an minyak goreng blm lg gula pasir dsb
22,"Jadi kerusuhan minyak goreng itu untuk menutupi kenaikan BBM...? 

*Iya tau ini yg non subsidi...
Tp bukannya dulu pas minyak dunia lg turun pertamina gk nurunin harga,? 
Adil bener nih negara... https://t.co/Ue4wtagJL6",kerusuhan minyak goreng menutupi kenaikan bbm iya tau non subsidi tp pas minyak dunia lg turun pertamina gk nurunin harga adil bener nih negara
23,Bocil2 sekarang pinter deh udah pada bisa beli minyak goreng sendiri,bocil pinter deh beli minyak goreng
24,"Udah masuk supermarket, kosong dong ini minyak goreng. 😂😂😂",masuk supermarket kosong minyak goreng
25,@sudjiwotedjo Gengsi nanti disamain dgn minyak goreng..😀,gengsi disamain minyak goreng
26,Pemprov Jatim ketika ini sdg fokus menggelontorkan minyak goreng dlam kemasan ke pedagang di seluiruh kabupaten / kota di wilayah setempat.,pemprov jatim sdg fokus menggelontorkan minyak goreng dlam kemasan pedagang seluiruh kabupaten kota wilayah
27,"Kembali ke minyak goreng kelapa aja lah.
Yg punya kebun tanami kelapa, kelapa tua yg kl dijual murah harganya mending diolah jd minyak kelapa (virgin coconut oil), yg blm trlalu tua dipake masakan, ambil santannya bikin (coconut cream) nilainya bisa jd mahal, yg muda bikin jajan.",minyak goreng kelapa kebun tanami kelapa kelapa tua dijual murah harganya mending diolah minyak kelapa virgin coconut oil blm trlalu tua dipake masakan ambil santannya bikin coconut cream nilainya mahal muda bikin jajan
28,"assalammualaikum wr wb yang terhormat bapak presiden @jokowi 
pak tolong turunkan harga minyak goreng pak 😭 saya harus antri pagi pagi tergenjet terdesak terhimpit oleh emak emak dan bapak bapak berbadan gembul yang ikutan dorong dorongan antri beli minyak goreng pak 😭",assalammualaikum wr wb terhormat presiden tolong turunkan harga minyak goreng antri pagi pagi tergenjet terdesak terhimpit emak emak berbadan gembul ikutan dorong dorongan antri beli minyak goreng
29,"Gelar Operasi Pasar, Pemkab Sukoharjo Sediakan 4.800 Liter Minyak Goreng https://t.co/fUi9RvG42W",gelar operasi pasar pemkab sukoharjo sediakan liter minyak goreng
30,"@tvOneNews kebodohan apalagi yg sedang diperlihatkan rejim hilang akal sehat ini, tetiba ada kepres hari penegakan kedaulatan negara, lalu ada pembunuhan rakyat nkri oleh teroris kkb yg kesekian kalinya, lalu antri minyak goreng di negara sawit terluas....wakanda...wakanda",kebodohan rejim hilang akal sehat tetiba kepres penegakan kedaulatan negara pembunuhan rakyat nkri teroris kkb kesekian kalinya antri minyak goreng negara sawit terluas wakanda wakanda
31,"AKHIRNYA YA GUSTI NEMU MINYAK GORENG DI SUPERMARKET SETELAH 2 MINGGU GUE NYARI ORA ADA BLAS :"")",iya gusti nemu minyak goreng supermarket minggu gue nyari ora blas
32,Iyaaaa ihh plisss kasih saya minyak goreng😭 https://t.co/R65ramw74R,iyaaaa ihh plisss kasih minyak goreng
33,"[CEK FAKTA] Salah, Presiden Rusia Bantu Kelangkaan Minyak Goreng di Indonesia: Beredar informasi di media sosial Facebook tentang klaim Presiden Rusia Vladimir Putin akan membantu kelangkaan minyak goreng… https://t.co/yuDSEP4MhF #beritabaik #timesindonesia #ketahananinformasi",cek fakta salah presiden rusia bantu kelangkaan minyak goreng indonesia beredar informasi media sosial facebook klaim presiden rusia vladimir putin membantu kelangkaan minyak goreng beritabaik timesindonesia ketahananinformasi
34,grosir minyak goreng terbaru https://t.co/xGIhYIiM7O,grosir minyak goreng terbaru
35,357. odi dan minyak goreng https://t.co/nFLLF9Rnph,odi minyak goreng
36,"@kompascom Ngapain putin ngurusin minyak goreng di indonesia, disana ga ada gorengan juga 😂😂",ngapain putin ngurusin minyak goreng indonesia disana gorengan
37,"@CoitusBrutal buat yg bilang minyaknya item bgt, fyi itu minyak sebenernya sebaru apapun kalo dipake goreng ayam atau ikan berbumbu bakalan cepet item.",bilang minyaknya item bgt fyi minyak sebenernya sebaru apapun dipake goreng ayam ikan berbumbu cepet item
38,"Oh minyak goreng.
Kenapa Anda.
Susah banget dicari.",oh minyak goreng susah banget dicari
39,mandat vaksin dicabut ama minyak goreng pasokannya normal lagi mana yg bakal duluan kelar?,mandat vaksin dicabut ama minyak goreng pasokannya normal duluan kelar
40,"udah berasa kek ibu"" aja gue, ngantri minyak goreng segala https://t.co/4qJ7rsfjpz",berasa kek gue ngantri minyak goreng
41,@usaisudahhh Lebih suka dikasih uang.. Karna uang bisa buat belu bunga cokelat dan minyak goreng,suka dikasih uang karna uang belu bunga cokelat minyak goreng
42,"@MieSubur @healthy13245678 @jokowi 
Rakyat pada berbaris antri minyak goreng dg tertib, jangan salah sangka.. ""dikira pendaftaran jihad ke Ukraina""",rakyat berbaris antri minyak goreng tertib salah sangka pendaftaran jihad ukraina
