,date,title
0,2021-12-01,Mahasiswa UGM Teliti Ubur-ubur sebagai Penghambat Kanker Payudara
1,2021-12-01,Contoh-contoh Energi Alternatif Terbarukan
2,2021-12-01,"Ditahan Lagi, Ini Perjalanan Kasus Jerinx SID vs Adam Deni"
3,2021-12-01,Lirik dan Chord Lagu Seventeen Going Under - Sam Fender
4,2021-12-01,"Kebal Krisis, Properti Syariah Tumbuh Eksponensial Selama Pandemi"
5,2021-12-01,INFOGRAFIK: Aturan Perjalanan Darat Selama Libur Natal dan Tahun Baru 2022
6,2021-12-01,"Stok Kondom KPA Pangkalpinang Menipis, Padahal Dibutuhkan Penyintas HIV/AIDS"
7,2021-12-01, Menhub Ajak Milenial Jadi Pelopor Gerakan Sadar Keselamatan Berlalu Lintas
8,2021-12-01,"BWF World Tour Finals: Kalah Start dan Buru-buru, Faktor Kekalahan Pramudya/Yeremia "
9,2021-12-01,Mau Sukses di Piala AFF 2020? Ikuti Aturan Ini
10,2021-12-01,"Wapres Ma'ruf Sebut Investasi Singapura Periode Januari-September Capai 7,3 Miliar Dolar AS"
11,2021-12-01,"PMI Manufaktur RI 53,9, Kemenkeu: Langkah Pengendalian Pandemi Membuahkan Hasil"
12,2021-12-01,UPN Veteran Jakarta: Tak Ada Tanda Kekerasan Jasad Mahasiswi yang Meninggal Saat Diklat Menwa
13,2021-12-01,Lirik dan Chord Lagu Rescue Me - Marshmello
14,2021-12-01,"Dicoret DPRD, Anggaran Sumur Resapan Bisa untuk Tambal Gaji PJLP"
15,2021-12-01,21 Kabupaten/Kota Alami Kenaikan Kasus Covid-19 Sepekan Terakhir
16,2021-12-01,Metrodata Gandeng Amazon Web Services Sediakan Layanan Transformasi dengan Cloud
17,2021-12-01,"Indonesia-Seychelles Bahas Kerja Sama Ekonomi Biru, Menteri KP Berikan Apresiasi"
18,2021-12-01,Gibran Larang ASN Solo Mudik dan Bepergian Saat Libur Natal dan Tahun Baru
19,2021-12-01,"Sudah Digencarkan Sejak 2010, Pariwisata Halal di NTB Masih Digodok"
20,2021-12-01,5 Penyebab Kucing Berhenti Menyantap Makanan Kering
21,2021-12-01,"Lahan Belum Dibayar, Warga Pagari Kawasan Sirkuit Mandalika dengan Pohon Pisang"
22,2021-12-01,"Reuni 212 Diancam Pidana, Panitia: Seharusnya Polisi Mengamankan, Bukan Menakut-nakuti!"
23,2021-12-01,Jokowi Kumpulkan Menteri di Istana Bahas Corona Omicron
24,2021-12-01,"Jadi Tahanan Kejaksaan, Musisi Jerinx Pertimbangan Ajukan Penangguhan Penahanan"
25,2021-12-01,"Waspada Varian Omicron, Dokter RS UNS Imbau Pemerintah Lakukan Hal Ini"
26,2021-12-01,"Naik Motor Bebek Sampai ke Paris, Video Perjalanan Pasangan Malaysia Ini Jadi Viral"
27,2021-12-01,ODGJ di Blitar Mengamuk: Minggir! Biar Aku Bakar Rumah Teroris Ini
28,2021-12-01,"Berkat Sinergi dan Inovasi dalam Pemulihan Ekonomi, Gojek Raih Bank Indonesia Award 2021"
29,2021-12-01,"3 Fakta Unik Restoran All You Can Eat, dari Mana Asalnya?"
30,2021-12-01,"Hasil Drawing Kejuaraan Dunia Badminton 2021, 6 Wakil Indonesia Dapat ""Bye"""
31,2021-12-01,"Cegah Predator Seksual di Game Online, Pimpinan Komisi X Usul Fitur Chat Dimatikan"
32,2021-12-01,"Hari AIDS Sedunia, Twitter Luncurkan Notifikasi Khusus HIV di Indonesia"
33,2021-12-01,"PPKM Level 3 di Tangsel, Anak 12 Tahun ke Bawah Dilarang Masuk Mal dan Bioskop"
34,2021-12-01,Lirik Lagu let you - iann dior
35,2021-12-01,"Pemerintah Bakal Kembali Terbitkan SKB 4 Menteri, Perjelas Ketentuan soal PTM Terbatas"
36,2021-12-01,Densus 88 Sita Senapan M16 dan 124 Peluru dari Terduga Teroris di Sulsel
37,2021-12-01,"Foto Viral Pasutri Naik Motor hingga Menara Eiffel, Begini Ceritanya"
38,2021-12-01,Momen Indro Satukan Lagi Warkop DKI Setelah Kasino dan Dono Tak Bicara 3 Tahun 
39,2021-12-01,Pil Covid Molnupiravir MSD Akhirnya Kantongi Izin FDA
